question_title_list,answer_count_list,no_of_view_list,anonymity_label,non_anonymous_answer_count,anonymous_answer_count
What are the apps which are used to download books and novels on the iPhone?,2,563,0,2,0
What's the plot/meaning behind the book House of Leaves? I've read it all the way through but really struggle to get my head about it.,1,586,0,1,0
Why do most of Dostoyevsky’s novels have a Christian bent?,1,607,0,1,0
"Besides its politics, is Ayn Rand's Atlas Shrugged a good novel?",3,1697,0,3,0
How many years have gone before the birth of IT?,1,789,0,1,0
What are the best non-academic books on physics for busy people?,3,863,0,3,0
Can I post books summary in my Instagram page?,1,736,0,1,0
What does it mean if a book is inscribed?,2,606,0,2,0
What are some books of soil mechanics from numerical point of view of high level?,1,121,0,1,0
"How do you create trust between two characters to the point where the reader feels the connection, and then you twist the plot to create betrayal?",1,253,0,1,0
Is the Bible book of Genesis literal or metaphoric?,18,2095,0,18,0
Which class NCERT books are suggested by Vajiram coaching for the UPSC?,3,7088,0,3,0
"In Harry Potter and the Sorcerer’s Stone, the first book, a magical creature named Fluffy guards a trapdoor. What kind of creature is Fluffy?",3,1245,0,3,0
Is there an IITIAN OR A NITIAN who was solely depend on video lectures for his/her preparation without taking any coaching and solving standard books 1-2 times?,1,1782,0,1,0
I am writing a book on how to overcome a breakup. How did you get over your breakup and became successful? Can you share your story? Can I share it on my book?,5,743,0,5,0
Does a list of worldbuilding resources exist online?,3,582,0,3,0
"Similar Farmhand Rupert and Black Peter are companions to which ""possibly"" fictional character?",1,298,0,0,1
"Do I need to cover whole book by Nitin singhania for art and culture and RS Sharma, Satish Chandra for ancient and medieval history?",1,113,0,1,0
"I stopped reading One Piece a couple of months ago, but I want to start reading again. Can someone give me a recap of chapters 1-155?",2,1533,0,2,0
I finished reading The Republic. What book by Plato or any other philosopher should I read?,10,4938,0,10,0
Which is the best Maths. Book for JEE advanced? (DON'T INCLUDE Cengage or Arihant)?,3,4425,0,3,0
Is reading Harper's Illustrated biochemistry enough for PG entrance exams (it doesn't have a few contents which the Indian books have)?,2,518,0,2,0
How will this pandemic be remembered by history books?,9,948,0,9,0
What are the chances of my being exposed to the virus if I get paperback books from a used book store?,6,350,0,6,0
What are some novels with extensive use of difficult words?,5,1197,0,5,0
How can I get the multiple choice key of Halliday Resnick Karen 5th Edition?,2,136,0,2,0
"Why is any book showing an ""unable to connect to server"" error?",1,213,0,1,0
What are the most important books translated to English?,1,1526,0,1,0
"Why every book in a bookshop claims being a ""No. 1 best seller""?",2,413,0,2,0
"Does it bother you that the final, climactic battles of all the three main Tolkien books end the same way, with the Great Eagles coming out of nowhere to save the losing army?",6,24541,0,6,0
What is the best book for trauma care or pre-hospital trauma care?,1,151,0,1,0
How was Harry Potter able to get Aunt Marge to start blowing without taking out his magic wand?,5,3217,0,5,0
Do authors dislike it when someone downloads their books for free but it benefits the person? I don't have money to buy so many books neither are they available in my country.,3,1367,0,3,0
What are the top hacking books written by the world’s best hackers?,1,866,0,1,0
What are some books on revolution (viplavam)?,1,372,0,1,0
Is there a way to tell how much money an author made from a book?,5,1307,0,5,0
What are some examples of works of fiction that take place during the flu pandemic of 1918?,1,1234,0,1,0
"How do you classify planets, stars, galaxies, ships, etc, in your sci-fi novel? What are some examples?",1,756,0,1,0
"I need to traditionally publish my novel in under a year, how should I go about this?",4,542,0,4,0
What are the best books about Indian gangsters?,1,1078,0,1,0
"How do you believe ""because I would not stop for death"" by Emily Dickson is related to the shift from the dark side of humanity to man's redemption?",1,316,1,1,0
Was Delvin Mallory in the Dark Brotherhood?,2,838,0,2,0
What book in the Bible's New Testament was most recently written?,7,3291,0,7,0
Which are the best books for preparation of amu/JMI 11th entrance examination?,4,148,0,4,0
"I had borrowed a book from the public library. While reading, I noticed one of the page had scrawllings over it. Should I inform the librarian and would they believe it wasn't me who did it?",4,280,0,4,0
How does audible work? I thought it was like Spotify? Do I have to buy every book? That’s ridiculous,2,580,0,2,0
What are the introductory psychology books about behaviour?,3,739,0,3,0
"Which 2 artistic works portray the 2 historical English characters Sir Thomas More & Thomas Cromwell more accurately: A Man For All Seasons (play/movie) or Wolf Hall (book, play, miniseries)?",1,611,0,1,0
"Which fictional being is described as belonging to the race of ""chelys galactica""?",2,391,0,1,1
Is it wrong to make pupils read a lot in the summer?,5,1374,0,5,0
What human psychology books are recommended for human resources professionals?,1,401,0,1,0
"Which is more difficult, physics NCERT exemplar or additional exercises?",3,802,0,3,0
What are some good sci-fi ship names that haven't been taken yet?,2,888,0,2,0
Why don't I complete one book and run towards another?,2,787,0,2,0
What are some dead simple books or videos to understand psychology?,1,569,0,1,0
What is the first Indian book translated in English?,1,749,0,1,0
Can rebirth in an ancient period be considered as historical fiction or fantasy?,2,381,0,2,0
Is Roald Dahl a boomer?,2,398,0,2,0
What is the name of the author who served during the Clinton administration?,4,342,0,4,0
Is reading class XI books during Class X holidays worth it?,2,695,0,2,0
Where is a good place to build a fictional city?,4,1398,0,4,0
Is it more difficult to be interested in a fiction novel after a night of binge drinking?,1,649,0,1,0
"In The Sword in the Stone, what does Merlin call the greatest force on Earth?",1,118,0,1,0
Hello sir! I want to know what books did you follow to get AIR- 67?,1,1033,0,1,0
What are some of the non academic books that I can read as love science space and technology…?,1,472,0,1,0
How many Braille books are there in English?,1,756,0,1,0
"Why can't I solve questions in mock tests even if I can solve the questions in books like HC Verma, DC Pandey, and Cengage’s maths?",1,1118,0,0,1
Is there a book about the process of making the Marvel movies?,1,359,0,1,0
Who should be required to read in school?,3,1229,0,3,0
What are some good digestable right-leaning economics books? I've read several what I would describe as left of the spectrum such as Ha-joon Chang but would like to to get a balanced view.,11,2097,0,11,0
Do you read things like preface and foreword by the author? Why or why not?,9,717,0,9,0
What well known storybook was written by L. Frank Baum?,4,685,0,4,0
Is https://www.emmaevans.org a good book blog?,1,859,0,1,0
What are the best guide books for the CBSE class 10 in 2020?,3,1442,0,3,0
"Was the film ""There Will Be Blood"" based on a book?",1,1231,0,1,0
Which is better book Mirror of common errors or MB Publication book for English?,1,126,0,1,0
What are some good books about media theory?,3,698,0,3,0
What's worse watching a TV series you hate or reading a book you can't stand?,5,570,0,4,1
What is it like to read 1+ books per day?,2,1576,0,1,1
How can I download all of Idris Shah's books?,1,262,0,1,0
What you think about Chetan Bhagat books? Aren't he just wrote timepass stories?,1,766,0,1,0
How much should you pay for a book of business?,2,582,0,2,0
Can someone provide me list of names of all the books required for commerce grade 11 CBSE? Since it is quarantine I was suggested by my parents to go through the contents of the books.. it would be interesting. Also where can I find pdfs of the books,2,379,0,2,0
"I’ve been meaning to get into reading young adult and adult fantasy novels for a while now, but I don't know where to start (I started Red Queen a year ago, but never finished it). Any suggestions for good books in the aforementioned genre?",3,800,1,3,0
What are some coming-of-age novels that everyone should read?,2,688,0,2,0
Are comic books just as beneficial as regular books?,4,1261,0,4,0
Is 'The Mother I Never Knew: Two Novellas' the best book of all time?,1,249,0,1,0
How do you know which demographics watch/listen/read certain things?,7,3741,0,7,0
What Hogwarts student is killed in Little Hangleton graveyard at the end of “The Goblet of Fire”?,1,163,0,1,0
"Questions about ""Tickets, Please!"" 1. Why is it with “bitter hopelessness” that Annie says “I don’t want him?” 2. What is meant by the author’s saying of Annie that “something was broken in her?”",2,403,0,2,0
"What is the syllabus for DM critical care medicine strategy, books and references? What is the plan for 1 year to target 2021?",1,230,0,1,0
How can I prepare for the NSEs and KVPY both in class 11? What books do I need to buy?,2,1532,0,2,0
I need to study history and politics of America. How should I know which books I read if I'm homeschooling?,5,653,0,5,0
"What was the unique scheme outlined in Don Calhoun's novel ""Dando Shaft""?",1,264,0,0,1
What do you call a person who buys lots of books but never reads them?,10,1741,0,10,0
Why hasn’t there been any major movie adaptations of the novel Candide?,1,1237,0,1,0
Can you break down the book Rich Dad Poor Dad for Dummies?,5,1052,0,5,0
What did you think of The Haunted Man and the Ghost's Bargain by Charles Dickens?,1,321,0,1,0
Where can I find the best free books online to read during a lockdown?,11,829,0,10,1
Where can I get a summary of the latest good books?,2,851,0,2,0
"Where can I find a complete list of the best book title fonts by genre, both fiction and nonfiction books?",2,517,0,2,0
Can I read Kindle format books on my Android phone?,7,549,0,7,0
Which protagonist of a novel do you have sympathy for?,2,784,0,2,0
Are Irvin D. Yalom’s books philosophically correct? Do they hold any value other than fiction?,1,631,0,1,0
How do I get books when bookstores and libraries are closed?,15,1483,0,15,0
Is Ramanand Sagar's Ramayan worth all the hype?,2,1137,0,2,0
I'm not an avid reader but I love hoarding books and being in a peaceful library. Sometimes I think I'm a poser and sometimes I feel guilty for having this personality. What should I do?,2,702,0,2,0
Which is best book containing JEE shortcut tricks for JEE main and advance?,3,2205,0,3,0
What are some recommended books for the ICAR Aurea UG 2020?,1,388,0,1,0
What book can I get to read from the Apple store about getting spiritual powers?,2,477,1,2,0
Sir can you suggest me class XI chemistry book other than NCERT?,10,2204,0,10,0
What would you say is the most important rule to remember while writing a book or a short story?,9,263,0,9,0
Do I need an HC Verma book?,1,700,0,1,0
Which place/quote/book gives you immense hope?,3,114,0,3,0
I am a quantum physics enthusiast and as such not taking any professional guidance regarding the subject. What are some of the best books on quantum chromodynamics I can read?,1,604,0,1,0
"Is economics a science? What are the topics that economists agree on, and what are the topic on which they disagree? Is there any book that you could recommend me on this subject?",6,578,0,6,0
"What do you think about Camilla, Duchess of Cornwall sharing her royal reading list of 9 books to read during the coronavirus lockdown?",3,655,0,3,0
Does Beverly Cleary still write children books at the age of 104 years old?,2,1445,0,2,0
"What is ""The Urantia Book"", not the foundation associated with it?",1,656,0,0,1
Is 'Harry Potter and the philosopher's Stone' the best book?,3,593,0,3,0
Why do textbooks include far more than what is covered in class?,2,367,0,2,0
What was the definition of the book given by Rancho (Aamir Khan) in the movie 3 Idiots?,1,370,0,1,0
Is Dan Brown writing another Robert Langdon book?,1,440,0,1,0
"So many translate books into Braille And I feel like there are no books originally in Braille, and Braille books cost so much, I was wondering could I write my own Braille book’s and sell them for as much as a regular book cost?",7,428,0,7,0
Can fiction teach us anything meaningful about the real world?,12,1030,0,12,0
Who is your best friend during the corona lockdown in Indian books or web series?,5,743,0,5,0
Has there ever been a book that was made a movie with nothing cut out from the book itself in the translation?,1,719,0,1,0
"In a novel I'm reading, a waiter calls a customer an 'A200'. What does the insult mean?",1,22988,0,0,1
What is the scenario of the delivery of ICAI books in the current situation of covid-19?,4,789,0,4,0
How do you check if a library has a book?,4,738,0,4,0
Are there any satanic books beside The Bible of Satan that is used as main book in other Satanic beliefs?,3,421,0,3,0
What is the purpose of 'Aslan's How' in 'Prince Caspian'?,2,627,0,2,0
Would a UV-C germicidal lamp be effective in treating old books and ephemera that are suspected to have mold/mildew? How harmful would the treatment be to various paper stocks?,4,488,0,4,0
How can I get books or articles related to the digit sum concept?,1,531,0,1,0
What are some comics that you didn’t understand when you first read them?,3,734,0,3,0
What are the best books by Dennis Etchison?,1,710,0,1,0
What are some novels with shocking endings or with full of surprises and twists?,1,708,0,1,0
"Why do textbooks only give solutions to instructors, rendering the book completely useless for self-study?",7,599,1,7,0
"What is the review of the novel ""There Is Something About You"" by Yashodhara Lal?",1,212,0,1,0
I wrote a book on LaTeX. How do I publish this book online without any publisher?,1,287,0,1,0
"What should I read to improve my linguistic abilities? I want to be able to use more complex words in any conversation, poetry, novels, or self-help (non-fiction) books?",4,1101,0,4,0
My son is 9 years old. Which biography books should he have read?,1,647,0,1,0
"Having gotten responses for my non-fiction book, without it being complete, should I continue to tell other publishers who have made comments (positive, objective) to current queries I’m phishing?",5,307,0,5,0
Can you recommend books on algo-trading and what technicals do you use?,1,21,0,1,0
Who wrote “Angels and Demons”?,21,4099,0,21,0
How do I study for physics for the NEET only using the NCERT books?,2,1891,0,2,0
Is the Amazon AP Edition for Biology good?,1,193,0,1,0
Is “I Want You (She’s So Heavy)” by The Beatles some sort of jam session?,5,2627,0,5,0
How do I get the maximum benefits from the book Word Power Made Easy?,1,735,0,1,0
Do publishers really lose money selling college textbooks?,1,490,0,1,0
Are there any major differences between the 5th and 6th editions of the Laxmikanth Polity book?,1,532,0,1,0
Did Gutemberg get rich by printing books?,1,1700,0,1,0
How do you rate the book The richest Man in Babylon?,1,343,0,1,0
What is the introductory nature of philosophy?,4,707,0,4,0
I am not able to study FMT. Can anyone help and suggest some good books/Videos?,1,832,0,1,0
Has anyone ever written a book / novel in Japanese which contains at least one instance of every single jōyō kanji?,3,898,0,3,0
Are NCERT books sufficient for competitive exams?,6,876,0,6,0
Which is your favourite Assamese novel by Ranju Hazarika?,5,559,0,5,0
Which work of Shel Silverstein is a good one to introduce to someone who has never read his work?,1,757,0,1,0
Can I compile all my quotes on YourQuote and publish as a book (paid or free) on Amazon Kindle?,1,149,0,1,0
Can the university force me to share my courses publicly online? I want to use my course material to write a book in the future.,1,171,0,1,0
"The 1971 novel ""Addie Pray"" was adapted into which successful Hollywood film?",2,1089,0,1,1
What are some good books about police interrogation techniques?,1,309,0,1,0
What happens when you try writing a book when drunk?,2,334,0,2,0
"Why there is no book on ""Unit testing Using MSTest Test Project (.Net Core)""?",3,372,0,3,0
What are some differences between the Harry Potter books and the movies? Which is your favorite Harry Potter book?,4,1503,0,4,0
Which is the best book for Physical Chemistry's Numerical problems for Bsc (Hons) and also for IIT-JAM Chemistry?,1,481,0,1,0
"How do I solve this, if there are 6973 digits, how many pages are there in a book?",2,1996,0,2,0
Is the Arihant BITSAT book enough for the JEE Main?,1,1134,0,1,0
Which physics book is better for ISC … Comprehensive Physics by Narinder Kumar or ISC Physics by K N Sharma?,3,422,0,3,0
What is Stephen King's book called that has a date?,5,1817,0,5,0
What are some philosophy books for self-isolation?,3,2340,0,3,0
Are there non-fiction book publishers who are keen to support already published authors?,1,155,0,1,0
How many pages should I read to complete one book in a month?,7,702,0,7,0
Is it normal to get 2 paperbacks and a hardcover in a series?,3,601,0,3,0
"Have you ever written an e-book? If yes, then can you share its link here for reference?",8,3914,0,8,0
What book topics are so overused they should be banned?,2,1100,0,2,0
Which English publishers in Japan are global?,2,317,0,2,0
How do I buy class 11 CBSE books on lockdown?,3,3387,0,3,0
What are the books we have to study for the IISER Aptitude Test 2020?,2,848,0,2,0
What percentage of sales does Amazon keep on self-published Kindle books?,4,785,0,4,0
"Where can I read the full Wattpad book - ""the girl he never noticed "" by sweetdreamer for free? Its now a laid story.",2,493,1,2,0
How is the book 'Sapiens' beneficial?,1,336,0,1,0
"Is Manupatra good to read case law along with facts, contention of parties, judgment, etc.?",2,231,0,2,0
"What are some good sources (apps, books, websites) for VITEEE preparation?",1,1070,0,1,0
Who is Robert Petison?,2,235,0,2,0
Why are there so many kids books on Amazon's annual best seller list?,4,549,0,4,0
Would you rather be an author of a book or a character in a book?,12,2293,0,12,0
What is the contents of editorial page and their significance?,1,395,0,1,0
What are some key excerpt from the book Ikigai?,3,908,0,3,0
What are some books we should read during the lockdown in India?,2,1455,0,2,0
Does publishing a book look good for college?,1,434,0,1,0
What are some good Urdu novels in English translations?,3,1601,1,3,0
What did you think of The Old Curiosity Shop by Charles Dickens?,2,545,0,2,0
"What is the retiring room at railway stations, and how can a passenger book it?",8,1907,0,7,1
"I enjoy reading D&D character sheets. Will you write one (including stats and alignment) for a famous character (e.g., Indiana Jones)?",3,766,0,3,0
Which side character is better than the protagonist?,1,168,0,1,0
What is the third movie in The Da Vinci Code?,1,662,0,1,0
What are the decades top 25 non-fiction books?,2,751,0,2,0
"Which period of human history would correspond to many fantasy books, films and TV shows (e.g., Conan the Barbarian, Lord of the Rings, Game of Thrones, The Belgariad, The Malloreon, The Elenium, the Earthsea books, Anne McCaffrey's books, etc.)?",3,4070,0,3,0
"What do you think of Matthew Tindal's ""Christianity As Old As Creation""?",1,813,1,1,0
What is your own playbook on how to handle grief?,3,640,0,2,1
How old was your kid when you read your last book to them?,5,1657,0,5,0
How do I cite an article in a book APA?,1,380,0,1,0
"I’m quite interested in American history at the turn of the 20th century prior to WW1, would anyone be able to recommend a good book focusing on this period?",4,876,0,4,0
What is the name of the most authoritative book of the four caliphs of Islam?,1,377,0,1,0
What happens when you buy a textbook?,1,419,0,1,0
Is there a book that explains how the Bible and science go together?,26,7534,0,26,0
Where can I read SOMEDAY by David Levithan for free?,1,708,0,1,0
"If you were to introduce someone to the history of the First World War in just three books, what would they be?",5,1312,0,5,0
"What are other titles that suit ""The Fault in Our Stars"" and can be used as substitutes for the original title?",1,722,0,1,0
What can be the effective ways of good reading?,2,962,0,2,0
Which books are best for theory from scratch for JEE droppers?,4,2510,0,4,0
Why is the Bible censored?,12,6336,0,12,0
Have read Amish tripathi's books? How was your experience,2,844,0,2,0
What is the best way to study the Lachmann and Lieberman book of industrial pharmacy for the GPAT exam?,3,234,0,3,0
"Some schools are refusing to lend out Chrome books or laptops due to students. If these students don’t have access to computers, how could they pass classes?",6,7850,0,6,0
"Can someone help me with a link to download/read a softcopy/ebook of the book, ""Heart to Heart: The Art of Communication"" - by Nancy Van Pelt?",2,261,0,2,0
"I'm looking for books with recipes for chocolate bars. I'm trying to make milk chocolate, dark chocolate, and white chocolate bars from scratch. What are your favorite books?",2,1258,0,2,0
How does imagination work? Like when you read a book and visualize what people/places look like with little description?,3,669,0,3,0
What is the review of the book 'Those Were the Days' by N.S. Ravi?,2,723,0,2,0
Does the rest of Lord of the Flies suggest that the author (William Golding) is pessimistic or hopeful about humanity’s future?,1,293,0,1,0
Can anyone help me to the Crush Saga eBooks by Chrissy Peebles? Book 4-9? I bought the first 3 but I'm not able to pay for all the 9 books.,1,462,0,1,0
Who does Morgana marry in Merlin?,1,463,0,1,0
Why is Assef’s character important in the novel The Kite Runner?,2,332,0,2,0
How many signatures should a book have?,1,287,0,1,0
What is the most influential book?,2,1738,0,2,0
Is the Quarantine Act of 1898 still on the books in the United States?,3,1031,0,3,0
"After all the negative disruption/influence that rupi kaur’s so-called ‘poetry’ books have created, what kind of poetry book would make the next big hit in the industry? Would it be something classic and old school or just something lazy like hers?",1,1164,1,1,0
What are some Tamil books that depict village life in Tamil Nadu?,1,2027,0,1,0
What is this pathology textbook (see figure)?,1,981,0,1,0
What are law books called?,1,459,0,1,0
How many copies of Angels and Demons were sold?,1,623,0,1,0
What was the great fish in the book of Jonah?,16,2506,0,15,1
What are some great realistic/true crime books/stories based some time in the 1950-1990’s preferably based in New York City?,2,30,0,2,0
What are some must-read books during a home quarantine?,5,543,0,5,0
Is 'How I Learnt to Speak in English: Techniques that Made Her Fluent' the best book for learning English?,1,265,0,1,0
My head/neck moves while reading a book. I mean I can’t follow lines with my Eyes How can I fix that?,3,563,0,3,0
Is MS. Chauhan’s chemistry book the best for NEET preparation?,3,1438,0,3,0
What's your favourite alternate history/fantasy novel?,3,983,0,3,0
I have a lot of my own quotes in image format. Can I publish an all image book on Amazon Kindle?,2,135,0,2,0
"What are some movie/TV/book/video game lines that's use became cemented/popularized in the English language (pop culture, wit, legend, legacy, profound)?",1,414,0,1,0
Where can I buy all the works of Surdas Ji? Someone told me that it is a huge collection of many books.,1,169,1,1,0
What are similar novels to Pride & Prejudice and Emma (happy classic novels without tragedy)?,1,755,0,1,0
What are one or two key differences between late 20th century writers and their predecessors earlier in this century?,8,8782,0,8,0
Is it possible to teach myself classical physics with nothing but textbooks and the internet?,3,317,0,3,0
Do I have to have a very original and new idea to write a successful book or can I use some ideas from other writers?,8,3031,0,8,0
Have u read the Quran ever? What you think about available English translations of the book? Are these translations truthful to its Arbic source or simply distortions as per Islamic scholars' opinion?,4,1030,0,4,0
Can I use the Devesh Mishra pathology book for both theory as well as MCQs?,2,556,0,2,0
Which autobiography u would love recommend?,2,879,0,2,0
What books stir you to be compassionate and caring toward others? Or music and movies,5,435,0,5,0
Why do people use LaTeX instead of EquatIO for writing math books?,1,397,1,1,0
Which book is best for an 18 year old who wants to improve skills and habits?,1,858,0,1,0
How can I put books of the public domain in my blog?,1,151,0,1,0
Why did Astrid betray the Dark Brotherhood?,2,1845,0,2,0
"Who wrote the universe of Dead Space (videogame/media)? Was it a book first, or the video game?",1,301,0,1,0
What happens if you don't kill Astrid?,1,618,0,1,0
Is it silly to learn languages by reading children's books of that language?,9,5850,0,9,0
"What’s a book plot which was entirely different to the movie plot, and which one was better?",5,1126,0,5,0
Who is your favorite philosopher that guides your way of teaching?,1,25,0,1,0
Was Kharavela also emperor of India just like the Mauryan emperors but not mentioned in our history books?,3,1999,0,3,0
What are some of the most insane alternate versions of your favorite comic book characters?,7,35663,0,7,0
What did you think of The Chimes by Charles Dickens?,1,662,0,1,0
Is it right that fictional characters should have their own Wikipedia pages?,3,442,0,3,0
Will future generations force children to play old video games in school in the same manner that today we force them to read books by ancient dead writers?,6,956,0,6,0
Where can I find free editors or have someone proofread one chapter of a book I am writing? I need a second input and constructive criticism.,7,857,0,7,0
Will author Michael Crichton ever write a third book in the Jurassic Park franchise?,4,336,0,4,0
"In the book ""Motel of the Mysteries"", one of the drawings is called the ""temples of Bigapple"". What real buildings was this representing?",2,281,0,2,0
Could someone give me good recommendations for fiction books or fantasy books that aren’t a part of a series?,5,740,0,5,0
What is the best non-biased book to read on WWII?,3,1165,0,3,0
What are some Islamic English books which can reclaim the heart and the soul?,2,384,0,2,0
What are some good Hindi novels in English translations?,1,1385,1,1,0
"When reading an article, what is the best way to remember all the points?",2,1018,0,2,0
Is studying standard books the only way to gain concepts to solve problems in physics?,2,204,0,2,0
Would it be strange to give someone a book written in a language they can't understand?,4,917,0,4,0
How is the Sullied Warrior Duology by Gaurav Sharma?,1,275,0,1,0
How many mini little golden books is the collection?,1,325,0,1,0
"Do non-English speaking countries call their literature/book analysis class at high school the name of their own language, as English speaking countries called the subject English?",8,2410,0,8,0
Where can I get book to read during lockdown?,3,1601,0,3,0
It seems to me like every self-help book is the same as the rest. Is there any self help book that offers any new information?,3,1628,0,3,0
"What are the things to do before reading the Bhagavad Gita? Can someone read it anytime, any way like other books?",4,1078,0,4,0
What are recommendations for books or readings about numerical analysis applications in diverse scientific fields?,1,386,0,1,0
Who are the muggle aunt and uncle that Harry must live with every summer in Harry Potter?,3,362,0,3,0
Which book can I read as a physics enthusiast?,4,1187,0,4,0
"I keep getting told my work is too edgy. I mention that to other queries and get told the same thing, “get a publisher that is into ‘edgy’”. Are there “Edgy” publishers?",3,625,0,3,0
Who is Bocelli’s wife?,2,981,0,2,0
"Can someone be as voracious a reader as v in ""v for vendetta""?",2,434,0,2,0
"When you read a book about the history of science, do you read it more for the history or more for the science? Does the history interest you most, or the actual process of discovery and how it might inspire your own discoveries?",5,962,0,5,0
Where can I read online books and not only their previews?,4,412,0,4,0
"Sir, what books should be studied for Ancient History and Art and Culture? Are the NCERTs enough?",3,597,0,3,0
Could you recommend a book on the history of Tibetan Buddhism?,1,585,0,1,0
"Does the secret book tells you that to achieve what you want, all you have to do is think and imagine?",1,506,0,1,0
"Could you transfer energy to a star to keep it fueled? What about the opposite of that? Could you transfer energy from a star to something like a ship, or a person? (sci-fi novel I'm writing)",8,832,0,8,0
How old was Anna Kendrick in Twilight?,2,516,0,2,0
What's one of the most scientifically accurate works in pop culture?,2,501,0,2,0
What is your review of the book Pearl of Immortality by Nishi Chandermun?,2,122,0,2,0
Why should we read mythological texts?,22,2138,0,22,0
Can you read vaisakhi hukamnama sahib Sri Darbar sahib?,1,22,0,1,0
Where can I get a PDF of the book mechanical Measurement and instrumentation by A. K. Sawhney?,1,274,0,1,0
Which passage from a novel that you have read recently has stayed with you?,4,1207,0,4,0
Can you suggest some sort of guide/explanation when reading the Bible for the first time?,8,1056,0,8,0
"Bro Currently I am in SY and my target is JBIMS, Which book should prefer and tell me study strategy process to get into JBIMS?",1,256,0,1,0
What are the biggest advantages of the addiction of reading books at the age of 26?,3,637,0,3,0
Where can I download Arihant books for free 2020-21 edition?,1,556,0,0,1
"Triplet brothers, everything else being equal, one of them learned from just reading, another learned from just listening to audiobooks, Another learned from just watching videos. Out of the three, who would be the most successful in life and why?",1,220,1,1,0
Why has the Italian government only now understood that books are essential goods and have they decided to reopen bookstores? What do you think about it?,1,173,0,0,1
"The Brazilian Army and Brazilian History books tell us that Brazil was very important on WWII, on conquering Italian territory and allowing the Allied troops moving forward. Is that seen in your country's History books or taught in classes?",11,12007,0,11,0
